[8 Apr 2026 18:14:44] DISTANCE CHECK: SimLat=48.72275127844344, SimLon=2.358388845176496, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:45] DISTANCE CHECK: SimLat=48.722751278443944, SimLon=2.3583888451762918, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:46] DISTANCE CHECK: SimLat=48.72275127844407, SimLon=2.3583888451761204, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:47] DISTANCE CHECK: SimLat=48.722751278445386, SimLon=2.3583888451760524, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:48] DISTANCE CHECK: SimLat=48.72275127844552, SimLon=2.358388845175936, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:49] DISTANCE CHECK: SimLat=48.72275127844618, SimLon=2.35838884517571, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:50] DISTANCE CHECK: SimLat=48.722751278446864, SimLon=2.3583888451754755, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:51] DISTANCE CHECK: SimLat=48.72275127844729, SimLon=2.358388845175301, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:52] DISTANCE CHECK: SimLat=48.72275127844603, SimLon=2.358388845175177, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:53] DISTANCE CHECK: SimLat=48.72275127844722, SimLon=2.358388845174989, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:54] DISTANCE CHECK: SimLat=48.722751278447355, SimLon=2.358388845174741, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:55] DISTANCE CHECK: SimLat=48.72275127844807, SimLon=2.3583888451746233, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:56] DISTANCE CHECK: SimLat=48.7227512784485, SimLon=2.358388845174415, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:57] DISTANCE CHECK: SimLat=48.7227512784502, SimLon=2.3583888451742587, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:58] DISTANCE CHECK: SimLat=48.72275127845054, SimLon=2.358388845174047, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:14:59] DISTANCE CHECK: SimLat=48.72275127845123, SimLon=2.358388845173906, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:00] DISTANCE CHECK: SimLat=48.722751278451746, SimLon=2.3583888451737574, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:01] DISTANCE CHECK: SimLat=48.7227512784523, SimLon=2.3583888451735344, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:02] DISTANCE CHECK: SimLat=48.72275127845207, SimLon=2.3583888451732933, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:03] DISTANCE CHECK: SimLat=48.722751278452456, SimLon=2.3583888451732107, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:04] DISTANCE CHECK: SimLat=48.72275127845297, SimLon=2.3583888451730295, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:05] DISTANCE CHECK: SimLat=48.72275127845362, SimLon=2.3583888451728208, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:06] DISTANCE CHECK: SimLat=48.72275127845409, SimLon=2.3583888451726773, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:07] DISTANCE CHECK: SimLat=48.72275127845521, SimLon=2.3583888451725117, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:08] DISTANCE CHECK: SimLat=48.72275127845499, SimLon=2.358388845172436, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:09] DISTANCE CHECK: SimLat=48.722751278455725, SimLon=2.3583888451721235, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:10] DISTANCE CHECK: SimLat=48.72275127845618, SimLon=2.3583888451719894, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:11] DISTANCE CHECK: SimLat=48.7227512784568, SimLon=2.3583888451718042, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
[8 Apr 2026 18:15:12] DISTANCE CHECK: SimLat=48.7227512784573, SimLon=2.3583888451715334, ExpLat=43.635, ExpLon=1.367778, Dist=308.23 | uiMismatch=True
