[8 Apr 2026 18:11:57] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:58] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:11:59] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:00] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:01] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:02] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:03] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:04] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:05] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:06] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
[8 Apr 2026 18:12:07] DISTANCE CHECK: SimLat=116081.24929350479, SimLon=229.1831180523293, ExpLat=48.723333, ExpLon=2.379444, Dist=2881.73 | uiMismatch=True
